map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Lokpriya+Hospital/data=!4m7!3m6!1s0x390c6532639f4d8d:0xf3a196a24ff7b316!8m2!3d28.9687701!4d77.7305075!16s%2Fg%2F11jknc5w8m!19sChIJjU2fYzJlDDkRFrP3T6KWofM?authuser=0&hl=en&rclk=1,Lokpriya Hospital,4.4,Hospital,081940 07414,https://www.lokpriyahospital.com/
https://www.google.com/maps/place/Chhatrapati+Shivaji+Subharti+Hospital/data=!4m7!3m6!1s0x390c669623f9406d:0xbdfd675d806fb179!8m2!3d28.9604598!4d77.6385016!16s%2Fg%2F1hf2j0vkp!19sChIJbUD5I5ZmDDkRebFvgF1n_b0?authuser=0&hl=en&rclk=1,Chhatrapati Shivaji Subharti Hospital,4.4,General hospital,096390 10313,https://hospital.subharti.org/
https://www.google.com/maps/place/Tulsi+Hospital/data=!4m7!3m6!1s0x390c64c77edca20d:0x471d129265d01415!8m2!3d28.9698908!4d77.7306821!16s%2Fg%2F11bx2hk91g!19sChIJDaLcfsdkDDkRFRTQZZISHUc?authuser=0&hl=en&rclk=1,Tulsi Hospital,4.6,Hospital,092582 84893,http://tulsihospital.org/
"https://www.google.com/maps/place/Optima+Super+Specialty+Hospital,+-Best+Hospital+in+Meerut/data=!4m7!3m6!1s0x390c6326ffdc26bd:0x64f3362910e22484!8m2!3d28.9356071!4d77.7282498!16s%2Fg%2F11kpdx6cfv!19sChIJvSbc_yZjDDkRhCTiECk282Q?authuser=0&hl=en&rclk=1","Optima Super Specialty Hospital, -Best Hospital in Meerut",4.6,Hospital,075990 00180,https://optimahospitalmeerut.com/
https://www.google.com/maps/place/SDS+Global+Super+Speciality+Hospital/data=!4m7!3m6!1s0x390c6fa4ddfc0cc5:0x59f1d6c157510e42!8m2!3d29.0674051!4d77.7095282!16s%2Fg%2F11b7y755tt!19sChIJxQz83aRvDDkRQg5RV8HW8Vk?authuser=0&hl=en&rclk=1,SDS Global Super Speciality Hospital,4.7,Hospital,070550 04227,http://www.sdsglobalhospital.com/
https://www.google.com/maps/place/Hope+Hospital/data=!4m7!3m6!1s0x390c64e2dc1cdaa3:0xdcf3f4dde6e19e8d!8m2!3d28.9881892!4d77.7119765!16s%2Fg%2F1tv22jkx!19sChIJo9oc3OJkDDkRjZ7h5t3089w?authuser=0&hl=en&rclk=1,Hope Hospital,4.1,General hospital,,
https://www.google.com/maps/place/Mrityunjay+Hospital/data=!4m7!3m6!1s0x390c64fdb546de4d:0x6203ddd212eae4bf!8m2!3d28.9875536!4d77.706705!16s%2Fg%2F11b5phpcb2!19sChIJTd5Gtf1kDDkRv-TqEtLdA2I?authuser=0&hl=en&rclk=1,Mrityunjay Hospital,4.6,General hospital,0121 266 6510,
"https://www.google.com/maps/place/Nutema+Hospital,+Meerut/data=!4m7!3m6!1s0x390c7b519b72290d:0xd0276e6d8cf55cfd!8m2!3d28.9576037!4d77.7517472!16s%2Fg%2F11bxfpcyjm!19sChIJDSlym1F7DDkR_Vz1jG1uJ9A?authuser=0&hl=en&rclk=1","Nutema Hospital, Meerut",3.7,Hospital,096756 00666,https://www.nutemahospital.com/
https://www.google.com/maps/place/ADIYOGI+HOSPITAL+-+Advance+Surgical+Centre+%7C+Superspeciality+Hospital+%7C+Top+rated+Hospital+%7C+Best+Hospital/data=!4m7!3m6!1s0x390c65c43815cd6b:0xd32f2fbfa5d408c6!8m2!3d28.9698556!4d77.7352673!16s%2Fg%2F11jyfvc87n!19sChIJa80VOMRlDDkRxgjUpb8vL9M?authuser=0&hl=en&rclk=1,ADIYOGI HOSPITAL - Advance Surgical Centre | Superspeciality Hospital | Top rated Hospital | Best Hospital,4.6,Hospital,092581 21411,http://www.adiyogihospital.in/
"https://www.google.com/maps/place/Shree+Ram+Hospital+-+Best+Multispecialty+Hospital+in+Meerut+%7C+Panchakarma,+Urology,+ENT,+Orthopedics,+Nephrology+%26+Pediatrics/data=!4m7!3m6!1s0x390c6185a330585d:0x1df1d594439ae76a!8m2!3d28.9344641!4d77.6434061!16s%2Fg%2F11lsxzd9g2!19sChIJXVgwo4VhDDkRaueaQ5TV8R0?authuser=0&hl=en&rclk=1","Shree Ram Hospital - Best Multispecialty Hospital in Meerut | Panchakarma, Urology, ENT, Orthopedics, Nephrology & Pediatrics",4.8,Private hospital,095369 01231,https://www.srahospital.com/
https://www.google.com/maps/place/DP+Hospital+%7C+best+hospital+in+meerut/data=!4m7!3m6!1s0x390c7bc56c951b67:0xd20a5399134bc992!8m2!3d28.9521766!4d77.7583953!16s%2Fg%2F11q1rdk5v8!19sChIJZxuVbMV7DDkRkslLE5lTCtI?authuser=0&hl=en&rclk=1,DP Hospital | best hospital in meerut,4.3,Hospital,096279 29084,
https://www.google.com/maps/place/Anand+Hospital/data=!4m7!3m6!1s0x390c7b5275d7bc55:0x90d9aa7a9c56056d!8m2!3d28.9616986!4d77.7463143!16s%2Fg%2F1xg5r17n!19sChIJVbzXdVJ7DDkRbQVWnHqq2ZA?authuser=0&hl=en&rclk=1,Anand Hospital,3.8,General hospital,075057 84498,http://www.anandhospital.com/
